"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for birthing friendly designation","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
390001,"GEISINGER-COMMUNITY MEDICAL CENTER","1822 MULBERRY STREET",SCRANTON,PA,18510,LACKAWANNA,"(570) 703-8000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,0,7,0,,8,7,1,6,0,,11,11,0,10,1,,8,8,,12,12,
390002,"UPMC MCKEESPORT HOSPITAL","1500 FIFTH AVENUE","MC KEESPORT",PA,15132,ALLEGHENY,"(412) 664-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,4,0,4,0,,8,5,0,5,0,,11,8,0,8,0,,8,8,,12,9,
390003,"GEISINGER-BLOOMSBURG HOSPITAL","549 EAST FAIR STREET",BLOOMSBURG,PA,17815,COLUMBIA,"(570) 387-2100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,3,0,3,0,,8,2,1,1,0,,11,8,1,7,0,,8,8,,12,9,
390004,"PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER","503 NORTH 21ST STREET","CAMP HILL",PA,17011,CUMBERLAND,"(717) 763-2100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,7,1,6,0,,8,5,1,4,0,,11,8,1,7,0,,8,8,,12,9,
390006,"GEISINGER MEDICAL CENTER","100 NORTH ACADEMY AVENUE",DANVILLE,PA,17822,MONTOUR,"(570) 271-6211","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,1,6,0,,8,8,2,5,1,,11,11,1,9,1,,8,8,,12,11,
390009,"SAINT VINCENT HOSPITAL","232 WEST 25TH STREET",ERIE,PA,16544,ERIE,"(814) 452-5111","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,11,0,,8,8,,12,11,
390012,"JEFFERSON LANSDALE HOSPITAL","100 MEDICAL CAMPUS DRIVE",LANSDALE,PA,19446,MONTGOMERY,"(215) 368-2100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,5,0,5,0,,8,7,0,7,0,,11,7,0,6,1,,8,8,,12,9,
390013,"WELLSPAN EVANGELICAL COMMUNITY HOSPITAL","ONE HOSPITAL DRIVE",LEWISBURG,PA,17837,UNION,"(570) 522-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,5,0,5,0,,8,5,0,4,1,,11,10,2,8,0,,8,8,,12,11,
390016,"UPMC JAMESON","1211 WILMINGTON AVENUE","NEW CASTLE",PA,16105,LAWRENCE,"(724) 656-4100","Acute Care Hospitals","Voluntary non-profit - Other",Yes,,3,,7,5,0,5,0,,8,7,1,6,0,,11,10,0,10,0,,8,8,,12,11,
39001F,"JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA)","2907 PLEASANT VALLEY BOULEVARD",ALTOONA,PA,16602,BLAIR,"(814) 943-8164","Acute Care - Veterans Administration","Veterans Health Administration",No,,4,,7,3,0,3,0,,8,"Not Available","Not Available","Not Available","Not Available",5,11,4,0,3,1,,8,8,,12,3,
390025,"KENSINGTON HOSPITAL","136 W DIAMOND STREET",PHILADELPHIA,PA,19122,PHILADELPHIA,"(215) 426-8100","Acute Care Hospitals","Voluntary non-profit - Other",No,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available",5,12,2,
390026,"TEMPLE HEALTH - CHESTNUT HILL HOSPITAL","8835 GERMANTOWN AVENUE",PHILADELPHIA,PA,19118,PHILADELPHIA,"(215) 248-8200","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,6,0,6,0,,8,7,1,5,1,,11,7,0,6,1,,8,8,,12,9,
390027,"TEMPLE UNIVERSITY HOSPITAL","3401 NORTH BROAD STREET",PHILADELPHIA,PA,19140,PHILADELPHIA,"(215) 707-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,10,1,,8,8,,12,11,
390028,"UPMC MERCY","1400 LOCUST STREET",PITTSBURGH,PA,15219,ALLEGHENY,"(412) 232-8111","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,6,0,6,0,,8,6,2,4,0,,11,8,0,8,0,,8,8,,12,9,
390030,"SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET","420 SOUTH JACKSON STREET",POTTSVILLE,PA,17901,SCHUYLKILL,"(570) 621-5102","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,6,1,5,0,,11,9,0,8,1,,8,8,,12,10,
390032,"ALLEGHENY VALLEY HOSPITAL","1301 CARLISLE ST",NATRONA,PA,15065,ALLEGHENY,"(412) 224-5100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,3,0,3,0,,8,3,0,3,0,,11,8,0,8,0,,8,8,,12,10,
390035,"ST LUKES QUAKERTOWN HOSPITAL","3000 ST. LUKE'S DRIVE",QUAKERTOWN,PA,18951,BUCKS,"(267) 985-1000","Acute Care Hospitals",Proprietary,Yes,Y,4,,7,4,0,4,0,,8,5,1,4,0,,11,8,0,7,1,,8,8,,12,10,
390036,"HERITAGE VALLEY BEAVER","1000 DUTCH RIDGE ROAD",BEAVER,PA,15009,BEAVER,"(412) 728-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,3,,7,7,0,7,0,,8,7,0,7,0,,11,11,1,9,1,,8,8,,12,11,
390037,"HERITAGE VALLEY SEWICKLEY","720 BLACKBURN ROAD",SEWICKLEY,PA,15143,ALLEGHENY,"(412) 741-6600","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,4,0,4,0,,8,4,0,4,0,,11,9,1,7,1,,8,8,,12,11,
390039,"UPMC SOMERSET","225 SOUTH CENTER AVENUE",SOMERSET,PA,15501,SOMERSET,"(814) 443-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,4,,7,4,0,4,0,,8,4,0,4,0,,11,8,0,8,0,,8,8,,12,9,
390041,"UNIONTOWN HOSPITAL","500 WEST BERKELEY STREET",UNIONTOWN,PA,15401,FAYETTE,"(724) 430-5000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,5,0,5,0,,8,6,0,6,0,,11,9,0,9,0,,8,8,,12,10,
390042,"WASHINGTON HOSPITAL, THE","155 WILSON AVENUE",WASHINGTON,PA,15301,WASHINGTON,"(724) 225-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,0,6,0,,8,8,1,6,1,,11,9,0,9,0,,8,8,,12,11,
390044,"READING HOSPITAL","420 S 5TH AVENUE","WEST READING",PA,19611,BERKS,"(610) 988-8000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,1,6,0,,8,8,2,5,1,,11,11,1,8,2,,8,8,,12,11,
390045,"UPMC WILLIAMSPORT","700 HIGH STREET",WILLIAMSPORT,PA,17701,LYCOMING,"(570) 321-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,0,7,0,,8,7,1,5,1,,11,11,0,10,1,,8,8,,12,12,
390046,"WELLSPAN YORK HOSPITAL","1001 SOUTH GEORGE STREET",YORK,PA,17403,YORK,"(717) 851-2345","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,0,7,0,,8,7,2,5,0,,11,10,1,9,0,,8,8,,12,11,
390048,"GEISINGER-LEWISTOWN HOSPITAL","400 HIGHLAND AVENUE",LEWISTOWN,PA,17044,MIFFLIN,"(717) 248-5411","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,5,0,5,0,,8,5,1,4,0,,11,8,1,7,0,,8,8,,12,11,
390049,"ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET",BETHLEHEM,PA,18015,NORTHAMPTON,"(484) 526-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,5,,7,7,1,6,0,,8,8,5,2,1,,11,11,0,9,2,,8,8,,12,11,
39004F,"COATESVILLE VA MEDICAL CENTER","1400 BLACK HORSE HILL ROAD",COATESVILLE,PA,19320,CHESTER,"(610) 384-7711","Acute Care - Veterans Administration","Veterans Health Administration",No,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available",5,12,2,
