ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
42,Pennsylvania,PA,42001,Adams,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",21.149361763036,2697,23,1184,100,1081,101,252,147,12,11,214,99,170,61,185,122,528,91,610,87,303,79,28,27,44,54,406,156,0,15,51,34,21,24,8,9,0,11,9.3,5.4,0.8,0.8,19.8,9.0,8.7,3.2,6.9,4.5,19.6,3.3,22.6,3.2,11.2,2.9,2.6,2.5,1.7,2.1,15.1,5.8,0.0,1.3,4.3,2.9,1.9,2.2,0.7,0.8,0.0,0.4,0.2389,0.0362,0.3373,0.5739,0.7403,1.9266,0.3276,0.5794,0.6797,0.3096,0.255,0.74,2.5637,0.5702,0.5281,0.5281,0.5281,0.0,0.7372,0.7254,0.0559,0.0,1.5185,0.2101,6.5369,0.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,155,75,35,54,281,128,2,4,0,11,0,11,88,70,0,11,5.7,0.1,1.3,2.0,10.4,4.8,0.1,0.2,0.0,1.0,0.0,1.0,3.3,2.6,0.0,1.0
42,Pennsylvania,PA,42001,Adams,42001030103,"Census Tract 301.03, Adams County, Pennsylvania",6.96383412801,2347,335,1002,147,857,154,127,109,30,45,99,65,0,11,172,134,488,303,472,119,203,117,14,24,0,44,11,32,0,15,0,11,0,15,0,11,0,11,5.5,4.6,2.1,3.0,11.6,7.3,0.0,1.5,7.3,5.6,20.8,11.4,20.1,4.2,8.6,4.8,1.6,2.8,0.0,1.9,0.5,1.4,0.0,1.5,0.0,2.7,0.0,1.8,0.0,3.2,0.0,0.5,0.1014,0.1555,0.0484,0.0,0.767,1.0723,0.1135,0.6474,0.4874,0.1507,0.1416,0.0,1.4271,0.0693,0.0056,0.0056,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.505,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,134,474,0,11,0,11,0,11,0,11,0,11,11,18,0,11,5.7,0.8,0.0,1.2,0.0,1.2,0.0,1.2,0.0,1.2,0.0,1.2,0.5,0.8,0.0,1.2
42,Pennsylvania,PA,42001,Adams,42001030104,"Census Tract 301.04, Adams County, Pennsylvania",19.341956524716,3526,336,1395,135,1354,138,464,231,108,90,272,128,455,191,165,113,768,239,814,197,638,213,33,42,0,44,269,194,0,15,341,113,25,39,33,40,0,11,13.2,6.4,6.2,4.9,20.1,9.2,18.5,7.1,4.7,3.2,21.8,6.5,23.1,5.1,18.1,6.1,2.4,3.1,0.0,1.3,7.6,5.5,0.0,1.1,24.4,8.1,1.8,2.9,2.4,2.9,0.0,0.3,0.3754,0.6643,0.3535,0.9023,0.5376,2.8331,0.616,0.7022,0.7142,0.7556,0.2274,0.0,2.3994,0.4753,0.3162,0.3162,0.3162,0.0,0.9871,0.7122,0.1916,0.0,1.8909,0.3378,7.4396,0.4838,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1166,491,506,0,11,209,181,0,11,0,11,0,11,60,67,0,11,13.9,1.3,0.0,0.8,5.9,5.1,0.0,0.8,0.0,0.8,0.0,0.8,1.7,1.9,0.0,0.8
42,Pennsylvania,PA,42001,Adams,42001030200,"Census Tract 302, Adams County, Pennsylvania",46.74447145285,5778,437,2165,186,2021,182,1048,367,170,66,509,119,715,132,753,235,969,192,1423,222,684,139,67,38,264,109,1348,350,0,21,392,93,55,30,59,38,7,3,18.2,6.2,6.0,2.3,25.2,5.4,18.0,3.3,13.1,3.8,16.8,3.2,24.6,3.4,11.9,2.4,3.3,1.9,4.8,2.0,23.3,5.8,0.0,1.0,18.1,4.1,2.7,1.5,2.9,1.9,0.1,0.1,0.546,0.6499,0.5659,0.8947,0.9421,3.5986,0.8271,0.4083,0.7884,0.3555,0.3523,0.8945,2.799,0.703,0.6647,0.6647,0.6647,0.0,0.9585,0.8154,0.2369,0.3365,2.3473,0.5462,9.4096,0.7812,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5754,777,653,34,30,1066,295,33,41,0,15,0,15,56,57,159,171,13.5,1.0,0.6,0.5,18.4,4.5,0.6,0.7,0.0,0.5,0.0,0.5,1.0,1.0,2.8,2.9
42,Pennsylvania,PA,42001,Adams,42001030300,"Census Tract 303, Adams County, Pennsylvania",43.148038273104,4306,225,1763,135,1620,124,324,143,57,37,273,84,359,136,310,130,666,97,824,196,519,197,2,11,151,96,813,290,0,15,182,74,59,48,32,23,87,51,7.5,3.3,2.3,1.5,16.9,5.0,11.4,4.5,7.2,3.0,15.5,2.4,19.1,4.4,12.1,4.6,0.1,0.7,3.7,2.3,18.9,6.7,0.0,0.9,10.3,4.2,3.6,3.0,2.0,1.4,2.0,1.2,0.172,0.1802,0.2072,0.7252,0.762,2.0466,0.3678,0.3353,0.4121,0.3678,0.0478,0.8628,2.0258,0.2582,0.5976,0.5976,0.5976,0.0,0.8629,0.8766,0.1563,0.7497,2.6455,0.6819,7.3155,0.4638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668,410,351,38,55,716,281,19,30,0,11,0,11,40,34,0,11,9.7,0.5,0.9,1.3,16.6,6.2,0.4,0.7,0.0,0.6,0.0,0.6,0.9,0.8,0.0,0.6
42,Pennsylvania,PA,42001,Adams,42001030400,"Census Tract 304, Adams County, Pennsylvania",68.99599689627,5798,207,2614,214,2271,180,967,328,69,74,526,169,696,213,549,308,1196,272,1192,198,1014,318,155,128,135,106,513,217,61,62,283,134,91,72,210,116,139,84,17.0,5.7,2.3,2.5,23.2,7.2,16.6,5.2,9.6,5.4,20.6,4.7,20.6,3.3,17.8,5.5,6.8,5.6,2.5,1.9,8.8,3.7,2.3,2.4,10.8,5.0,4.0,3.2,9.2,5.2,2.4,1.4,0.5079,0.1802,0.4874,0.8689,0.8657,2.9101,0.6389,0.6357,0.5267,0.7415,0.6709,0.8101,3.3849,0.911,0.3552,0.3552,0.3552,0.4402,0.8717,0.8957,0.6177,0.7767,3.602,0.9629,10.2522,0.8622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018,1013,526,33,34,296,139,151,157,0,15,0,15,33,36,0,15,17.9,0.7,0.6,0.6,5.1,2.4,2.6,2.7,0.0,0.5,0.0,0.5,0.6,0.6,0.0,0.5
42,Pennsylvania,PA,42001,Adams,42001030500,"Census Tract 305, Adams County, Pennsylvania",24.612950758152,3879,214,1675,157,1531,150,771,262,110,65,335,88,418,93,263,102,815,120,796,101,570,103,124,55,131,71,831,226,28,30,147,39,23,14,35,29,12,11,19.9,6.7,5.2,3.0,21.9,5.3,15.2,3.5,6.8,2.6,21.0,2.9,20.5,2.3,14.7,2.6,8.1,3.5,3.6,1.9,21.4,5.7,1.7,1.8,8.8,2.5,1.5,0.9,2.3,1.9,0.3,0.3,0.5988,0.5667,0.4338,0.8443,0.7315,3.1751,0.7251,0.6612,0.5179,0.5417,0.7444,0.8599,3.3251,0.8981,0.6386,0.6386,0.6386,0.396,0.837,0.665,0.1825,0.4982,2.5787,0.653,9.7175,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3876,493,324,57,87,676,198,0,11,0,11,0,11,98,63,0,11,12.7,0.7,1.5,2.2,17.4,5.0,0.0,0.7,0.0,0.7,0.0,0.7,2.5,1.6,0.0,0.7
42,Pennsylvania,PA,42001,Adams,42001030600,"Census Tract 306, Adams County, Pennsylvania",34.306182395382,4946,37,1789,167,1751,163,486,211,52,41,348,100,486,147,297,147,1185,141,837,155,706,162,77,54,23,51,585,331,55,37,162,55,19,31,22,20,587,144,11.1,4.8,2.4,1.9,19.9,5.4,12.7,4.0,6.8,3.3,24.0,2.8,16.9,3.1,16.1,3.7,4.4,3.1,0.5,1.1,11.8,6.7,3.1,2.0,9.1,2.9,1.1,1.8,1.3,1.2,11.9,2.9,0.303,0.1937,0.3417,0.7754,0.7315,2.3453,0.4643,0.8113,0.2614,0.6442,0.4701,0.4818,2.6688,0.6319,0.4475,0.4475,0.4475,0.4845,0.8414,0.5882,0.0971,0.9382,2.9494,0.8037,8.411,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7535,560,271,96,62,408,317,7,15,7,12,0,11,67,72,0,11,12.8,0.4,1.9,1.2,8.2,6.4,0.1,0.3,0.1,0.2,0.0,0.6,1.4,1.5,0.0,0.6
42,Pennsylvania,PA,42001,Adams,42001030700,"Census Tract 307, Adams County, Pennsylvania",31.346290486406,6479,243,2841,165,2709,158,696,270,135,65,469,129,501,190,365,181,1130,220,1188,144,915,212,86,63,33,66,470,206,89,86,371,143,35,40,128,100,0,15,10.7,4.1,3.7,1.8,17.3,4.7,10.8,4.0,5.6,2.8,17.4,3.3,18.3,2.1,14.1,3.3,3.2,2.3,0.5,1.1,7.3,3.2,3.1,3.0,13.1,4.9,1.3,1.5,4.7,3.6,0.0,0.2,0.2878,0.3733,0.2222,0.6997,0.6343,2.2173,0.4266,0.4443,0.3494,0.5071,0.3406,0.4818,2.1232,0.309,0.3048,0.3048,0.3048,0.4845,0.9079,0.6325,0.3817,0.0,2.4066,0.5747,7.0519,0.4164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2310,884,414,149,100,231,169,4,6,0,15,0,15,85,59,1,3,13.6,0.5,2.3,1.5,3.6,2.6,0.1,0.1,0.0,0.4,0.0,0.4,1.3,0.9,0.0,0.1
42,Pennsylvania,PA,42001,Adams,42001030801,"Census Tract 308.01, Adams County, Pennsylvania",8.240979620896,3190,398,1333,98,1234,109,460,130,51,26,313,68,228,49,272,122,596,113,777,230,524,138,29,19,32,49,283,120,0,15,298,51,0,15,36,26,0,11,15.0,4.0,3.0,1.5,25.4,5.0,10.3,2.4,8.5,3.5,18.7,3.5,24.4,6.5,16.4,4.0,2.4,1.5,1.1,1.6,8.9,3.6,0.0,1.1,22.4,3.6,0.0,1.2,2.9,2.1,0.0,0.3,0.439,0.2763,0.5736,0.6704,0.8223,2.7816,0.6019,0.5249,0.7796,0.6607,0.2274,0.6465,2.8391,0.7236,0.3593,0.3593,0.3593,0.0,0.9782,0.0,0.2369,0.0,1.2151,0.1286,7.1951,0.4438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2255,388,555,77,83,163,80,32,29,0,11,0,11,9,9,2,6,12.2,1.5,2.4,2.6,5.1,2.4,1.0,0.9,0.0,0.9,0.0,0.9,0.3,0.3,0.1,0.2
